NID,CONTRIBUTOR,TOTAL
497,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1919,"NNP GZC Car '2RED', Person 'C'",1
169,"NNP GZC Car '3PURPLE', Person 'B'",1
606,"NNP GZC Car '1BLUE', Person 'B'",2
1802,"NNP GZC Car '7WHITE', Person 'A'",1
2039,"NNP GZC Car '6RED', Person 'B'",4
989,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1676,"NNP GZC Car '6RED', Person 'B'",3
1566,"NNP GZC Car '1PURPLE', Person 'A'",3
1909,"NNP GZC Car '2RED', Person 'C'",1
581,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
1637,"NNP GZC Car '1PURPLE', Person 'D'",1
1041,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1487,"NNP GZC Car '1PURPLE', Person 'B'",4
1861,"NNP GZC Car '5WHITE', Person 'A'",2
1871,"NNP GZC Car '2RED', Person 'A'",2
1233,"NNP GZC Car '1WHITE', Person 'C'",1
80,"NNP GZC Car '1WHITE', Person 'C'",3
2177,"NNP GZC Car '1WHITE', Person 'B'",1
1556,"NNP GZC Car '1PURPLE', Person 'D'",5
868,"NNP GZC Car '1BLUE', Person 'A'",1
1489,"NNP GZC Car '1PURPLE', Person 'A'",9
1553,"NNP GZC Car '1PURPLE', Person 'D'",1
1591,"NNP GZC Car '8WHITE', Person 'A'",2
537,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0",9
516,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0",1
298,"NNP GZC Car '1RED', Person 'B'",3
